,2012,2013,2014,2015,2016,2017
7802474216,0,0,0,6,2,0
7802492279,0,0,0,0,0,0
7805040841,0,0,0,0,0,0
7805059296,0,0,0,0,0,0
7805128006,0,0,3,71,53,1
7805294356,5,13,1,0,0,0
7806133873,0,0,0,0,0,0
7810587502,0,0,0,0,0,0
7810599392,0,0,0,0,0,0
7810822900,0,1,0,0,0,0
7810833099,0,0,0,0,0,0
7811116351,0,0,0,0,0,0
7811388108,0,0,0,0,0,0
7816147730,0,0,1,0,0,0
7816158919,16,5,26,1,2,4
7826668651,0,0,0,0,0,0
7830000867,0,1,2,1,1,0
7838004006,0,0,0,1,0,0
7838027596,0,0,0,0,0,0
7838029642,0,0,0,0,0,0
7839011599,0,0,0,0,0,0
7841000509,0,0,0,0,0,0
7841368525,0,0,0,0,0,0
7841385672,1,1,0,0,0,0
7841414806,0,0,0,0,0,0
7841420983,0,0,0,0,0,0
7842012426,0,0,0,0,0,0
7842377963,0,0,0,0,0,0
7842411406,0,0,0,0,0,0
7901536047,0,0,0,0,0,0
7904504090,0,2,2,3,1,0
8203010961,0,0,2,1,0,0
8601016225,0,0,0,0,0,0
8601024787,1,0,0,35,51,0
8602045765,0,1,8,1,7,0
8602236022,0,0,0,0,0,0
8608048498,13,5,7,24,16,2
8609002658,26,6,24,6,9,1
8610011897,2,0,0,2,4,0
8619008017,0,0,0,0,21,12
8709009390,0,0,0,0,0,0
8901007447,1,5,3,10,6,4
8901013401,0,0,0,0,0,0
8901024178,23,63,43,6,0,0
8903030890,0,0,0,0,0,0
8904073529,0,4,14,7,8,0
8908001772,5,109,27,31,44,0
9705035584,0,0,0,0,0,0
