,2012,2013,2014,2015,2016,2017
2801084479,1,2,3,3,1,0
2801096562,0,0,0,0,0,0
2801106556,81,196,22,12,4,0
2801111154,0,0,0,0,0,0
2801151407,0,0,0,0,0,0
2801158321,0,0,0,0,0,0
2801158843,0,0,0,0,0,0
2801163057,0,0,0,0,0,0
2801178913,0,0,0,0,0,0
2809002647,5,8,10,6,4,0
2813005249,112,110,40,6,2,0
2816007981,18,22,4,0,0,0
2818002192,2,1,0,0,0,0
2828002272,1,3,2,10,9,9
2828004618,1,0,0,0,0,0
2828005393,0,0,0,0,0,0
2901071160,0,0,0,0,1,0
2901108973,0,0,0,0,0,0
2901167418,0,0,0,0,0,0
2902037041,0,0,1,0,1,1
2920009390,0,0,0,0,0,0
3009015261,0,0,0,0,0,0
3015063249,0,0,0,0,0,0
3016049864,0,0,0,0,0,0
3016053557,48,64,18,25,0,0
3023007248,0,0,0,0,0,0
3106007146,0,0,0,0,0,0
3121183308,0,0,0,0,0,0
3123003920,0,0,0,0,0,0
3123040930,1,0,0,0,0,0
3123067875,0,0,0,2,5,0
3123071367,1,0,0,1,0,0
3123078193,0,0,0,0,4,0
3123081446,0,0,0,0,0,0
3123085419,0,0,0,0,0,0
3123101205,0,0,0,0,0,0
3123121280,0,0,0,0,0,1
3123142593,0,0,0,0,0,0
3123160948,0,0,0,0,0,0
3123227670,0,0,0,0,0,0
3126014430,0,0,0,0,0,0
3128000313,0,0,0,0,0,0
3128055986,0,0,0,0,0,0
3128063440,0,0,0,0,0,0
3201000246,18,5,1,0,0,0
3201002363,19,18,10,15,21,8
3202001147,2,3,2,3,2,0
3202009890,208,231,193,133,26,4
3227005513,27,40,23,5,34,8
3249002650,0,0,0,0,0,0
3250054445,0,0,0,0,0,0
3253002886,5,8,2,8,36,15
3254505836,8,1,1,2,4,2
3303010081,1,0,1,0,0,0
3305004083,45,59,24,117,96,124
3307001803,0,0,0,0,2,0
3327703286,0,0,0,0,0,0
3327824851,0,0,22,4,8,1
3327831626,0,1,0,0,0,0
3327837385,0,0,0,0,0,0
3328401665,0,0,0,0,0,0
3328408526,0,2,2,6,4,0
3328493401,0,0,0,3,2,0
3328496730,0,0,0,0,0,0
3329011322,0,0,1,6,3,0
3329027058,0,0,0,0,0,0
3329043613,1,0,0,0,0,0
3403014273,25,3,0,6,2,0
3435002707,0,0,0,0,0,0
3435031546,0,0,1,6,7,1
3435800872,18,37,39,42,37,13
3443028152,1,0,1,0,0,0
3443063301,0,0,0,0,0,0
3444066707,232,387,0,10,3,1
3444067732,3,10,39,33,40,5
3444070534,0,0,0,0,1,0
3444074680,0,0,0,0,0,0
3444103148,0,0,0,0,0,0
3444106639,0,0,0,0,0,0
3444110811,0,0,0,0,0,0
3444121556,0,0,0,1,0,0
3444408936,3,0,0,0,0,0
3445001653,12,9,10,18,26,2
3447028682,0,0,0,0,0,0
3448043612,0,0,0,0,0,0
3455003314,0,0,0,0,1,0
3525122163,0,0,0,0,0,0
3525253230,0,16,0,0,10,0
3525311178,0,0,0,0,5,0
3604001059,0,0,1,1,1,0
3604015693,22,18,50,12,2,0
3605007624,0,0,2,0,0,0
3627001190,37,60,44,34,24,6
3661039235,0,0,0,1,1,0
3662012324,4,5,5,10,3,1
3662072757,0,0,0,0,0,0
3662104737,298,334,795,532,995,723
3662161622,0,0,0,0,0,0
3662168441,0,0,0,0,0,0
3662172617,33,5,13,17,5,0
3662181805,0,0,0,0,0,0
3662191271,0,0,0,2,0,0
3662194931,0,0,1,0,2,0
3662198189,0,0,0,21,11,5
3663050467,1258,2937,1227,2590,2461,1335
3663096937,0,0,0,0,0,0
3664028785,0,0,0,0,0,0
3664075640,0,0,1,1,2,1
3664078698,0,0,0,0,0,0
3664104210,0,5,1,2,7,0
3664129864,0,0,0,0,0,0
3665005646,0,1,2,0,1,1
3665040961,0,1,0,0,0,0
3665054763,0,0,0,0,0,0
3665068830,0,0,0,1,0,0
3665078147,0,0,0,2,5,0
3665084503,0,0,0,0,0,0
3665086740,0,0,0,0,0,0
3666025010,0,0,0,0,0,0
3666085309,0,0,0,0,0,0
3666092842,5,2,1,2,1,0
3666120271,0,1,0,1,2,0
3666159790,0,0,0,0,0,0
3666170875,0,0,0,0,0,0
3666184902,0,0,0,0,0,0
3702030675,0,0,0,0,0,0
3702048697,0,0,0,0,0,0
3702066505,0,0,0,0,0,0
3702505738,6,3,0,3,0,1
3702690833,0,9,7,14,0,0
3702726568,0,0,28,75,69,17
3728000058,31,1,27,36,2,0
3800000220,741,1563,814,1080,1365,855
3805208624,0,0,0,0,0,0
3805704189,0,0,0,4,1,0
3805711490,0,0,0,0,0,0
3807003862,0,0,0,1,1,0
3808066495,15,6,12,17,13,9
3808082881,0,0,0,0,0,0
3808148028,5,22,9,5,5,0
3808159598,0,0,0,0,0,0
3808167870,0,0,0,0,0,0
3809016313,10,10,5,43,43,9
3810318118,0,0,0,0,0,0
3811096387,511,440,180,224,129,26
3811123947,0,0,0,0,0,0
3811147779,0,0,0,0,0,0
3811185573,0,0,0,2,1,1
3812010576,3,2,1,0,0,0
3812035570,17,19,15,35,36,8
3812127084,0,0,0,0,0,0
3814007314,7,9,6,17,14,3
3827016676,0,0,0,0,0,0
3848001800,0,0,0,0,0,0
3849003310,0,0,0,0,0,0
3900004998,0,0,1,3,7,0
3904045040,0,0,0,0,0,0
3904050226,0,0,0,0,0,0
3904053717,0,0,0,0,0,0
3904060577,0,0,0,0,0,0
